                               branch                               | cnt  
--------------------------------------------------------------------+------
 NA                                                                 | 4619
 PATNA                                                              |  859
 LUCKNOW                                                            |  466
 Patna                                                              |  452
 Indore                                                             |  402
 AGRA                                                               |  394
 Raipur                                                             |  384
 CHD                                                                |  375
 Lucknow                                                            |  352
 Chandigarh                                                         |  297
 KOLKATA                                                            |  281
 Varanasi                                                           |  273
 BBSR                                                               |  222
 LKO                                                                |  209
 NAGPUR                                                             |  206
 Agra                                                               |  191
 RAIPUR                                                             |  182
 INDORE                                                             |  167
 Nagpur                                                             |  163
 Pratapgarh                                                         |  154
 Delhi                                                              |  150
 Kolkata                                                            |  134
 RANCHI                                                             |  134
 Kanpur                                                             |  130
 Bareilly                                                           |  122
 GORAKHPUR                                                          |  122
 Jabalpur                                                           |  120
 Noida                                                              |  115
 LATEHAR                                                            |  106
 Kundli                                                             |  105
 Mumbai                                                             |   60
 Ranchi                                                             |   55
 JAMSHEDPUR                                                         |   53
 Dehradun                                                           |   52
 Delhi                                                              |   52
 Gorakhpur                                                          |   48
 KANPUR                                                             |   47
 Bhagalpur                                                          |   43
 Indor                                                              |   39
 KOLKATA 2                                                          |   39
 BAREILLY                                                           |   38
 Nashik                                                             |   30
 Sherghati                                                          |   30
 RAJPUT                                                             |   28
 Thane                                                              |   26
 Nagapur                                                            |   25
 INDOR                                                              |   25
 DELHI                                                              |   24
 Kushinagar                                                         |   20
 JABALPUR                                                           |   20
 Patan                                                              |   17
 KUNDLI                                                             |   16
 ASHTA                                                              |   15
 Dhule                                                              |   15
 BHUBANESWAR                                                        |   13
 patna                                                              |   13
 THANE                                                              |   13
 DHANBAD                                                            |   13
 Guwahati                                                           |   12
 Siliguri                                                           |   12
 RAJKOT                                                             |   11
 KOLKATA                                                            |   11
 Sherghati, Gaya                                                    |   11
 chandigarh                                                         |   11
 nagpur                                                             |    9
 Bhopal                                                             |    9
 CHD-2                                                              |    9
 L.K.O                                                              |    8
 Pune                                                               |    8
 GUJRAT                                                             |    8
 Hapur                                                              |    7
 ASHITA                                                             |    7
 LUCKNow                                                            |    7
 GUJARAT                                                            |    7
 PATAN                                                              |    7
 LUCKnow                                                            |    6
 Rajpur                                                             |    6
 CHD.                                                               |    6
 Barcilly                                                           |    6
 Delhi-2                                                            |    6
 Kalkata                                                            |    6
 BHAGALPUR                                                          |    6
 B.B.S.R                                                            |    6
 Gorkhpur                                                           |    6
 Lko                                                                |    6
 Kundali                                                            |    6
 DURGAPUR                                                           |    6
 Ranchi-1                                                           |    6
 KOL-2                                                              |    6
 YAVATMAL                                                           |    5
 NOIDA                                                              |    5
 Cuttack                                                            |    5
 lucknow                                                            |    5
 CHANDIGARH                                                         |    5
 BARUIPUR                                                           |    5
 DEHRADUN                                                           |    4
 N                                                                  |    4
 na                                                                 |    4
 LuckNow                                                            |    4
 Kolhapur                                                           |    4
 MUMBAI                                                             |    4
 PATNA                                                              |    4
 Durgapur                                                           |    4
 Ranchi                                                             |    4
 VARANASI                                                           |    3
 SHERGHATI                                                          |    3
 Agra                                                               |    3
 Deharadun                                                          |    3
  Ranchi                                                            |    3
 SHEIKHPURA                                                         |    3
 KUSHINAGR                                                          |    3
 GUMLA                                                              |    3
 BIHAR                                                              |    3
 NASHK                                                              |    3
 Bhubaneswar                                                        |    3
 GZB                                                                |    3
 MOTIHARI                                                           |    3
 NA`                                                                |    3
 LUCKNOW                                                            |    3
 Jaipur                                                             |    3
 Jabalpur                                                           |    3
 Ranchi - 1                                                         |    3
 KONNAGAR                                                           |    3
 kundli                                                             |    3
 JAMSHEDPUR-1                                                       |    3
 RAJPUT                                                             |    3
 PRATAPGARH                                                         |    3
 AMD                                                                |    3
 Chandigarh.                                                        |    2
 CHD.2                                                              |    2
 CHD. 2                                                             |    2
 LATEHAR                                                            |    2
 JABALPUR.                                                          |    2
 CHD                                                                |    2
 Jaanvi Enterprise                                                  |    2
 Barilly                                                            |    2
 KOL - 2                                                            |    2
 RAIPOR                                                             |    2
 Delhi - 2                                                          |    2
 BHOPAL                                                             |    2
 KHARDAH                                                            |    2
 Kolkat                                                             |    2
 NCR                                                                |    2
 thane                                                              |    2
 SURAT                                                              |    2
 BAHRAICH                                                           |    2
 LUCknow                                                            |    2
 PTNA                                                               |    2
 BRSR                                                               |    2
